column,units,definition,files
Phi_B_OER_eV,eV,"E_CB,s,OER minus E_cat,OER",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
V_bb_HER_V,V,"(E_CB,s,HER minus E_CB,bulk)/q",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
V_bb_OER_V,V,"(E_CB,s,OER minus E_CB,bulk)/q",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
V_cat_HER_V_vs_RHE,V vs RHE,HER catalyst electrode potential versus RHE,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
V_cat_OER_V_vs_RHE,V vs RHE,OER catalyst electrode potential versus RHE,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
absorbed_fraction,dimensionless or metadata,1-exp(-alpha L),AA_thickness_plot_data.csv;AA_thickness_sweep.csv
adaptive_mesh_nodes,dimensionless or metadata,Final number of adaptive BVP mesh nodes,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
alpha_L,dimensionless or metadata,Dimensionless absorption coefficient times thickness,AA_thickness_plot_data.csv;AA_thickness_sweep.csv
architecture,dimensionless or metadata,First contact letter is HER; second is OER,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv;selected_catalyst_off_states.csv
calculation_origin,dimensionless or metadata,"Fresh BVP, symmetry assignment or supplied reference",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
catalyst_balance_HER_A_m2,A m^-2,J_sem+j_H,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
catalyst_balance_OER_A_m2,A m^-2,-J_sem+j_O,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
eta_HER_V,V,"V_cat,HER minus the HER equilibrium potential",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
eta_OER_V,V,"V_cat,OER minus the OER equilibrium potential",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
faradaic_active,dimensionless or metadata,Whether catalyst/electrolyte exchange is active,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
initialization,dimensionless or metadata,Numerical initial-guess strategy; no physical constraint,common_transfer_rate_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
integrated_current_balance_A_m2,A m^-2,J_gen-J_sem-[-Jp(0)-Jn(L)]-J_SRH,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
intensity_mW_cm2,mW cm^-2,Incident 365-nm illumination intensity,intensity_sweep.csv
j_HER_anodic_mA_cm2,mA cm^-2,"Catalyst HER/HOR current, positive for HOR",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
j_OER_anodic_mA_cm2,mA cm^-2,"Catalyst OER/ORR current, positive for OER",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
k_m_s,m s^-1,Common electron/hole transfer coefficient at both contacts,common_transfer_rate_sweep.csv
mean_V_bb_0_V,V,Mean input native dark bending voltage,native_band_bending_sweep.csv
n_cm3,cm^-3,Electron number density,AA_dark_equilibrium_profile.csv;AA_operating_profile.csv;AB_dark_equilibrium_profile.csv;BA_dark_equilibrium_profile.csv;BA_operating_profile.csv;BB_dark_equilibrium_profile.csv
numerical_state_recomputed,dimensionless or metadata,Whether this row was solved numerically here,selected_catalyst_off_states.csv
p_cm3,cm^-3,Hole number density,AA_dark_equilibrium_profile.csv;AA_operating_profile.csv;AB_dark_equilibrium_profile.csv;BA_dark_equilibrium_profile.csv;BA_operating_profile.csv;BB_dark_equilibrium_profile.csv
provenance,dimensionless or metadata,Source and interpretation of a supplied value,selected_catalyst_off_states.csv
selected_Delta_V_cat_V,V,SI-displayed catalyst-off comparison value,selected_catalyst_off_states.csv
selection_rule_specified,dimensionless or metadata,Whether the stated data select a unique voltage,selected_catalyst_off_states.csv
signed_opposite_carrier_term_mA_cm2,mA cm^-2,"Exact signed -Jp(0)-Jn(L), also retained outside forward OWS",AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
source,dimensionless or metadata,Global/full or refined thickness grid,AA_thickness_plot_data.csv;AA_thickness_sweep.csv
state,dimensionless or metadata,Physical state or explicitly labelled assignment,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;dark_equilibrium_states.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
status,dimensionless or metadata,Endpoint/assignment status,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
thickness_nm,nm,Semiconductor slab thickness,AA_thickness_plot_data.csv;AA_thickness_sweep.csv
thickness_um,um,Semiconductor slab thickness,AA_thickness_plot_data.csv;AA_thickness_sweep.csv
utilization_percent,%,100 J_OWS/J_gen,AA_thickness_plot_data.csv;AA_thickness_sweep.csv;common_transfer_rate_sweep.csv;intensity_sweep.csv;native_band_bending_sweep.csv;operating_states.csv
x_um,um,Position measured from the HER contact,AA_dark_equilibrium_profile.csv;AA_operating_profile.csv;AB_dark_equilibrium_profile.csv;BA_dark_equilibrium_profile.csv;BA_operating_profile.csv;BB_dark_equilibrium_profile.csv
